File Name,slope,d_slope,intercept,d_intercept
error00001,1742.1397084908187,24.808469952439285,-2625.180371300206,38.095839994537165
error00002,1749.6578099440296,31.237361059358566,-2387.398749525464,43.336097626267104
error00003,1788.4855246111379,42.56529974175323,-2155.924725486726,52.024091643313625
error00004,1645.7705777888007,59.08636760304196,-1827.2896945634873,66.32109837086547
error00006,1380.683563226245,107.28432455989113,-1079.2284456539446,84.60827013753897
error00011,1527.496882443276,30.583661500066157,-1685.0179295600074,34.57478192635941
error00012,1428.3857164447934,25.508417953020036,-1418.9181738003565,26.06360491488211
error00013,1277.134804986281,22.892300859880454,-1222.7696730638365,22.646138513111413
error00014,1368.103185157443,25.2962657717149,-1277.5984417865734,24.384452005645503
error00015,1283.111903510261,25.365093575696644,-1196.8850201704029,24.47701658612215
error00017,1349.2239198025268,23.89823960895469,-1226.0768146195494,22.433926827103836
error00018,1267.4101507509297,22.443195416034957,-1102.614571206302,20.24222819922278
