file_name,peak,A,x0,gamma,offset,A_uncertainty,x0_uncertainty,gamma_uncertainty,offset_uncertainty
error00001,1,0.014259014865707312,-0.06808904356030214,3.315389954533331,-69.51392384985462,0.0003303587994063808,0.07566424112578124,0.11721559516284581,207.37010716551944
error00001,2,0.03267275241913098,50.14225822903274,2.869609799490325,2737.1096542575606,0.0003552342173292873,0.03129822170014115,0.04687363222909347,21011.50303094082
error00001,3,0.007573632163697706,99.92536860831879,3.5087509277866293,-2667.594496732382,0.00032182932817264795,0.148579979360743,0.22616032003877487,20973.645542732804
error00002,1,0.0117388681888036,0.1971899775014965,3.357726771042446,-151.148551468002,0.0003300935587034744,0.09408339185976201,0.14930125510442205,1834219059.3091533
error00002,2,0.041558700008088194,39.614927116976965,3.530894129151164,63.32182735720378,0.000322143940939297,0.02725995132092426,0.043235518338490396,6017.681360248471
error00002,3,0.006494396977919864,80.19498222772683,3.5856186821942218,87.82729043726563,0.0003195790837736888,0.17579296133200506,0.28234929884573834,1834218904.6052501
error00003,1,0.0125447728311266,0.03580699944479117,3.952348198380235,-119.68465993017406,0.0003810305552600941,0.111960911575849,0.1950043626824809,1.613165666357403e+24
error00003,2,0.03886052680926914,29.927840562790248,3.902687678060146,32.388978914681466,0.00035994632602499995,0.03563905258193144,0.0597783944174214,3.679149765376537e+24
error00003,3,0.007964165457950848,60.036359950790036,3.4678931808521196,87.29614514802368,0.0004289807371673913,0.16377521159242378,0.27804011700761755,2.065984096691185e+24
error00004,1,-0.0024426591667841002,-13.925659585073808,1.9410255978319948,-170.12434444981199,0.0008559687936788356,0.6495691542833135,1.0701819290885726,2.138523327113205e+25
error00004,2,0.0368564533870349,19.84134034377577,3.618943158150409,197.95080321886363,0.0005839860213048,0.05737130517852995,0.09612873329886994,2.530194252030337e+25
error00004,3,0.006636449081307736,39.91247898609379,1.8351556789053736,-27.82317387094733,0.0008690407459997118,0.22479731136772557,0.36810836728363017,3.9167093903172227e+24
