timestamp,transmission,reflection,volt_piezo,total_intensity
-0.01916805,-0.00109877,-0.0232005,1.039308480941779,0.416394
-0.01916305,0.00178112,-0.0136009,1.0393606777163311,0.409994
-0.01915805,0.000821155,-0.000801352,1.0394128744908835,0.422793
-0.01915305,0.00146113,0.0055984,1.0394650712654359,0.422793
-0.01914805,0.000821155,0.015198,1.0395172680399882,0.422793
-0.01914305,0.00018118,0.0119982,1.0395694648145406,0.422793
-0.01913805,0.000501167,0.00239853,1.0396216615890927,0.429193
-0.01913305,-0.000138808,-0.0136009,1.0396738583636451,0.416394
-0.01912805,0.000501167,-0.000801352,1.0397260551381975,0.409994
-0.01912305,0.00018118,-0.00400123,1.0397782519127499,0.416394
-0.01911805,0.000501167,-0.00720111,1.0398304486873022,0.409994
-0.01911305,0.000501167,-0.010401,1.0398826454618546,0.422793
-0.01910805,0.000821155,-0.0200006,1.0399348422364068,0.429193
-0.01910305,0.00114114,-0.0136009,1.0399870390109591,0.416394
-0.01909805,0.000821155,0.00879828,1.0400392357855115,0.416394
-0.01909305,0.000501167,-0.0264004,1.0400914325600639,0.422793
-0.01908805,0.00018118,-0.0168007,1.0401436293346162,0.422793
-0.01908305,0.00018118,0.015198,1.0401958261091684,0.416394
-0.01907805,0.000821155,-0.0168007,1.0402480228837208,0.416394
-0.01907305,-0.000138808,0.0215978,1.0403002196582731,0.409994
-0.01906805,0.00114114,0.00879828,1.0403524164328255,0.409994
-0.01906305,0.00018118,0.00239853,1.0404046132073779,0.422793
-0.01905805,0.000501167,0.0055984,1.04045680998193,0.422793
-0.01905305,0.000501167,0.0055984,1.0405090067564824,0.422793
-0.01904805,0.000821155,-0.0296002,1.0405612035310348,0.429193
-0.01904305,0.000501167,0.0311974,1.0406134003055871,0.409994
-0.01903805,0.000501167,-0.0328001,1.0406655970801395,0.422793
-0.01903305,0.00114114,-0.0136009,1.0407177938546917,0.422793
-0.01902805,0.000821155,0.0183979,1.040769990629244,0.429193
-0.01902305,0.00114114,0.00239853,1.0408221874037964,0.416394
-0.01901805,0.000821155,0.0375972,1.0408743841783488,0.422793
-0.01901305,0.00114114,-0.00400123,1.0409265809529011,0.422793
-0.01900805,0.000501167,-0.0232005,1.0409787777274535,0.429193
-0.01900305,-0.000138808,0.0119982,1.0410309745020057,0.429193
-0.01899805,0.00018118,-0.036,1.041083171276558,0.429193
-0.01899305,0.000821155,0.00239853,1.0411353680511104,0.422793
-0.01898805,0.000501167,0.0055984,1.0411875648256628,0.422793
-0.01898305,0.000501167,-0.0200006,1.041239761600215,0.422793
-0.01897805,0.000501167,-0.0136009,1.0412919583747673,0.416394
-0.01897305,0.00018118,0.0183979,1.0413441551493197,0.422793
-0.01896805,0.00018118,0.0375972,1.041396351923872,0.422793
-0.01896305,0.000821155,-0.0136009,1.0414485486984244,0.416394
-0.01895805,0.000821155,-0.0200006,1.0415007454729768,0.416394
-0.01895305,0.000501167,-0.0136009,1.041552942247529,0.422793
-0.01894805,0.00018118,0.0215978,1.0416051390220813,0.422793
-0.01894305,0.00114114,-0.0168007,1.0416573357966337,0.429193
-0.01893805,-0.000138808,-0.00720111,1.041709532571186,0.422793
-0.01893305,0.000821155,0.00239853,1.0417617293457384,0.429193
-0.01892805,0.00018118,-0.000801352,1.0418139261202906,0.422793
-0.01892305,0.00114114,-0.00400123,1.041866122894843,0.409994
-0.01891805,0.00018118,-0.00720111,1.0419183196693953,0.416394
-0.01891305,0.000821155,-0.0200006,1.0419705164439477,0.429193
-0.01890805,0.000821155,-0.000801352,1.0420227132185,0.422793
-0.01890305,0.000821155,0.0055984,1.0420749099930522,0.422793
-0.01889805,0.000501167,0.00239853,1.0421271067676046,0.416394
-0.01889305,0.000501167,-0.0328001,1.042179303542157,0.435593
-0.01888805,0.00018118,0.0055984,1.0422315003167093,0.416394
-0.01888305,0.000501167,0.0119982,1.0422836970912617,0.422793
-0.01887805,0.000501167,0.00239853,1.0423358938658138,0.416394
-0.01887305,0.000501167,-0.0264004,1.0423880906403662,0.422793
-0.01886805,0.000501167,0.0279975,1.0424402874149186,0.422793
-0.01886305,0.000501167,-0.0200006,1.042492484189471,0.422793
-0.01885805,-0.000778784,-0.0168007,1.0425446809640233,0.416394
-0.01885305,0.00114114,0.0055984,1.0425968777385757,0.422793
-0.01884805,0.000501167,0.00879828,1.0426490745131278,0.416394
-0.01884305,0.00114114,-0.0136009,1.0427012712876802,0.416394
-0.01883805,-0.000138808,0.00879828,1.0427534680622326,0.422793
-0.01883305,0.000501167,-0.0232005,1.042805664836785,0.422793
-0.01882805,0.000501167,0.0055984,1.0428578616113373,0.422793
-0.01882305,0.00018118,0.0183979,1.0429100583858895,0.416394
-0.01881805,0.000821155,0.0119982,1.0429622551604418,0.429193
-0.01881305,0.000821155,-0.0264004,1.0430144519349942,0.416394
-0.01880805,0.00146113,0.00879828,1.0430666487095466,0.416394
-0.01880305,0.00018118,0.0055984,1.043118845484099,0.409994
-0.01879805,0.00114114,0.0183979,1.043171042258651,0.422793
-0.01879305,0.000821155,-0.00400123,1.0432232390332035,0.422793
-0.01878805,0.000501167,0.00239853,1.0432754358077558,0.422793
-0.01878305,0.00114114,-0.00720111,1.0433276325823082,0.416394
-0.01877805,0.00018118,0.00879828,1.0433798293568604,0.422793
-0.01877305,0.000501167,0.0343973,1.0434320261314127,0.416394
-0.01876805,-0.000458796,0.015198,1.043484222905965,0.409994
-0.01876305,0.00114114,0.00879828,1.0435364196805175,0.422793
-0.01875805,0.00018118,-0.0264004,1.0435886164550698,0.422793
