timestamp,transmission,reflection,volt_piezo,total_intensity
-0.004733054,0.00018118,-0.036,1.1900005273169307,0.422793
-0.004728054,0.00210111,-0.036,1.190052724091483,0.422793
-0.004723054,0.00018118,-0.0232005,1.1901049208660357,0.422793
-0.004718054,0.00210111,-0.036,1.1901571176405878,0.435593
-0.004713054,0.00114114,-0.0391999,1.1902093144151402,0.416394
-0.004708054,0.00146113,-0.0232005,1.1902615111896924,0.429193
-0.004703054,0.00242109,-0.036,1.1903137079642447,0.429193
-0.004698054,0.00018118,-0.0296002,1.190365904738797,0.422793
-0.004693054,0.00274108,-0.0232005,1.1904181015133497,0.429193
-0.004688054,0.000821155,-0.036,1.190470298287902,0.416394
-0.004683054,0.00274108,-0.0391999,1.190522495062454,0.422793
-0.004678054,0.00146113,-0.0232005,1.1905746918370064,0.429193
-0.004673054,0.00114114,-0.0264004,1.1906268886115587,0.422793
-0.004668054,0.00114114,-0.0264004,1.1906790853861111,0.409994
-0.004663054,0.00114114,-0.0200006,1.1907312821606637,0.416394
-0.004658054,0.00274108,-0.010401,1.1907834789352156,0.422793
-0.004653054,0.000821155,-0.0136009,1.190835675709768,0.422793
-0.004648054,0.00146113,-0.0200006,1.1908878724843204,0.429193
-0.004643054,0.00114114,-0.0168007,1.1909400692588727,0.429193
-0.004638054,0.00114114,-0.036,1.1909922660334251,0.422793
-0.004633054,0.00146113,-0.0296002,1.1910444628079777,0.422793
-0.004628054,0.00114114,-0.0391999,1.1910966595825296,0.429193
-0.004623054,0.00114114,-0.0264004,1.191148856357082,0.422793
-0.004618054,0.00114114,-0.0168007,1.1912010531316344,0.429193
-0.004613054,0.00146113,-0.00720111,1.1912532499061868,0.435593
-0.004608054,0.00114114,-0.0200006,1.1913054466807391,0.429193
-0.004603054,0.00114114,-0.0168007,1.1913576434552913,0.422793
-0.004598054,0.00178112,-0.010401,1.1914098402298436,0.429193
-0.004593054,0.00146113,0.0119982,1.191462037004396,0.416394
-0.004588054,0.00114114,-0.0136009,1.1915142337789484,0.429193
-0.004583054,0.00178112,-0.0264004,1.1915664305535008,0.422793
-0.004578054,0.000821155,-0.0264004,1.191618627328053,0.422793
-0.004573054,0.00242109,-0.036,1.1916708241026053,0.422793
-0.004568054,0.00018118,-0.0264004,1.1917230208771576,0.422793
-0.004563054,0.00114114,0.0119982,1.19177521765171,0.416394
-0.004558054,0.00210111,-0.00720111,1.1918274144262624,0.422793
-0.004553054,0.00146113,-0.010401,1.1918796112008143,0.429193
-0.004548054,0.00178112,-0.0232005,1.191931807975367,0.429193
-0.004543054,0.00146113,-0.0200006,1.1919840047499193,0.416394
-0.004538054,0.000821155,-0.00400123,1.1920362015244717,0.429193
-0.004533054,0.00114114,-0.0296002,1.192088398299024,0.416394
-0.004528054,0.00146113,0.0183979,1.1921405950735762,0.422793
-0.004523054,0.00178112,-0.0423998,1.1921927918481283,0.422793
-0.004518054,0.00114114,-0.0264004,1.192244988622681,0.422793
-0.004513054,0.00114114,-0.010401,1.1922971853972333,0.429193
-0.004508054,0.00146113,-0.0264004,1.1923493821717857,0.429193
-0.004503054,0.00146113,-0.0296002,1.1924015789463378,0.422793
-0.004498054,0.00114114,0.00239853,1.1924537757208902,0.422793
-0.004493054,0.00178112,-0.0136009,1.1925059724954423,0.422793
-0.004488054,0.00018118,-0.0232005,1.192558169269995,0.429193
-0.004483054,0.00178112,-0.0296002,1.1926103660445473,0.435593
-0.004478054,0.000501167,-0.0136009,1.1926625628190997,0.416394
-0.004473054,0.00146113,-0.00720111,1.1927147595936518,0.422793
-0.004468054,0.00114114,-0.010401,1.1927669563682042,0.422793
-0.004463054,0.00178112,-0.0232005,1.1928191531427563,0.422793
-0.004458054,0.00114114,-0.010401,1.192871349917309,0.416394
-0.004453054,0.000821155,-0.0296002,1.1929235466918613,0.422793
-0.004448054,0.00274108,-0.0168007,1.1929757434664134,0.435593
-0.004443054,0.000501167,-0.0168007,1.1930279402409658,0.429193
-0.004438054,0.00146113,-0.010401,1.1930801370155182,0.429193
-0.004433054,0.00114114,-0.0136009,1.1931323337900706,0.422793
