timestamp,transmission,reflection,volt_piezo,total_intensity
-0.003730147,0.000321339,0.652188,2.2162116516939974,4.14395
-0.003729147,0.0012813,0.661788,2.2161103923766765,4.15995
-0.003728147,0.000641327,0.648988,2.216009133059356,4.14395
-0.003727147,0.000321339,0.655388,2.2159078737420357,4.12796
-0.003726147,0.0012813,0.658588,2.2158066144247153,4.14395
-0.003725147,0.000641327,0.658588,2.215705355107395,4.14395
-0.003724147,0.0012813,0.658588,2.2156040957900744,4.15995
-0.003723147,0.0012813,0.658588,2.215502836472754,4.14395
-0.003722147,-0.000318636,0.658588,2.2154015771554336,4.14395
-0.003721147,0.000641327,0.645788,2.2153003178381128,4.15995
-0.003720147,0.000961315,0.652188,2.2151990585207924,4.14395
-0.003719147,0.000641327,0.652188,2.215097799203472,4.15995
-0.003718147,0.000641327,0.652188,2.2149965398861515,4.15995
-0.003717147,0.0012813,0.655388,2.214895280568831,4.14395
-0.003716147,0.000961315,0.642589,2.2147940212515107,4.14395
-0.003715147,0.000321339,0.661788,2.21469276193419,4.15995
-0.003714147,0.000641327,0.645788,2.2145915026168694,4.14395
-0.003713147,0.000961315,0.648988,2.214490243299549,4.14395
-0.003712147,0.000641327,0.661788,2.2143889839822286,4.14395
-0.003711147,0.0012813,0.648988,2.214287724664908,4.15995
-0.003710147,0.000641327,0.639389,2.214186465347588,4.15995
-0.003709147,0.000961315,0.655388,2.2140852060302674,4.14395
-0.003708147,0.0012813,0.648988,2.213983946712947,4.14395
-0.003707147,0.000961315,0.648988,2.2138826873956265,4.15995
-0.003706147,0.000641327,0.648988,2.2137814280783057,4.14395
-0.003705147,0.0012813,0.645788,2.2136801687609853,4.14395
-0.003704147,0.0012813,0.655388,2.213578909443665,4.14395
-0.003703147,0.000641327,0.652188,2.2134776501263445,4.17595
-0.003702147,0.00160129,0.648988,2.213376390809024,4.15995
-0.003701147,0.0012813,0.648988,2.2132751314917036,4.12796
-0.003700147,0.0012813,0.652188,2.2131738721743828,4.17595
-0.003699147,0.000641327,0.652188,2.2130726128570624,4.15995
-0.003698147,0.000641327,0.648988,2.212971353539742,4.12796
-0.003697147,0.00160129,0.655388,2.2128700942224215,4.17595
-0.003696147,0.000641327,0.655388,2.212768834905101,4.15995
-0.003695147,0.00160129,0.645788,2.2126675755877807,4.15995
-0.003694147,1.35163e-06,0.655388,2.2125663162704603,4.14395
-0.003693147,0.00160129,0.658588,2.21246505695314,4.14395
-0.003692147,0.000641327,0.658588,2.212363797635819,4.14395
-0.003691147,0.0012813,0.655388,2.2122625383184986,4.15995
-0.003690147,0.00160129,0.645788,2.212161279001178,4.15995
-0.003689147,0.0012813,0.652188,2.212060019683858,4.15995
-0.003688147,0.0012813,0.664988,2.2119587603665374,4.14395
