title,type,lor_A,lor_mean,lor_gamma,lor_off,lor_d_A,lor_d_mean,lor_d_gamma,lor_d_off
bessel00000,carrier,0.06031174807428914,1.709633712785281,0.0029704157745015307,-0.0031441516808430776,0.000741908231471102,3.166761398169273e-05,7.896512048564383e-05,0.000600132469662084
bessel00001,carrier,0.03650535811583299,1.605906070665944,0.0017434749601064417,0.003415948377037281,0.0012576479056309391,5.895625671662262e-05,0.00011346536275983558,0.0005711516993847674
bessel00002,sb_1,0.002106341768315833,1.645956194695801,0.0016956299487029562,0.0017393542750247936,0.00025428207521119544,0.00020126784476627831,0.00038386627499727816,0.00011237657973675034
bessel00002,carrier,0.03581887772477003,1.622989717717989,0.001873585359448865,0.0029372864348231665,0.001010480289487983,5.157380125451052e-05,0.00010192040102175659,0.0004958051105511801
bessel00003,carrier,0.03842492955100361,1.6438579041976011,0.002024039207439591,0.002245106617942517,0.0012286523562233518,6.263236028454228e-05,0.00012761193662045464,0.0006549146707211794
bessel00004,carrier,0.034273698065554845,1.6355933616509977,0.0018881066051864635,0.00287130022392667,0.0012554864240434322,6.743757266355652e-05,0.0001337163515062543,0.0006215323442831085
bessel00005,sb_1,0.005839240280166661,1.6066928624473136,0.0011160296317473172,0.0023821588596782475,0.0004194088460820347,7.983127585886638e-05,0.00013702511822460392,0.00012745521203491345
bessel00005,carrier,0.046376519048102784,1.5868285224243468,0.00280894612409115,-0.0018371354457880026,0.0009109020912581189,4.8617698864281684e-05,0.00011862334221436823,0.0007121951844716344
bessel00005,sb_1,0.0045081926752530655,1.567352043436303,0.0022053456845917752,0.0016209304138371738,0.0002843444843069342,0.00013230659734332585,0.0002827413914842606,0.00017088904307645706
bessel00006,sb_1,0.0050574511765626995,1.6156206795749741,0.0022063804765967143,0.001806290347230932,0.00023412931622397655,9.713376946273372e-05,0.0002078931353400422,0.00014106538521537
bessel00006,carrier,0.03746335266608057,1.594510902998435,0.0019264959899926572,0.0022157676810400074,0.0012888859312559326,6.432087872680074e-05,0.00012954880926899478,0.0006677714017041509
bessel00006,sb_1,0.004408592488798089,1.5725732571050346,0.00189000839965831,0.0019033748697530237,0.0003140468757831005,0.00013093450654102194,0.0002622039101529614,0.00015981824953089488
bessel00007,sb_1,0.0068765910784200895,1.6032888223482067,0.0019835901536342467,0.00185162060540766,0.00022773520930328425,6.35282342081212e-05,0.0001295987888459167,0.00012194063053556271
bessel00007,carrier,0.04269128687786412,1.5834828641402166,0.0026794624039031016,-0.0012274528548227915,0.0006239379823736686,3.521582702722347e-05,8.363524488729052e-05,0.0004653873051662614
bessel00007,sb_1,0.005476355409121718,1.563134932585929,0.0021041808748153866,0.0017643175808422652,0.00030372097293008876,0.0001119068496386844,0.00023435221281736606,0.00017367195059481784
bessel00009,sb_1,0.00851474678016935,1.579926197325668,0.0020674618573214083,0.0018880890591251244,0.0002985872610334388,6.970248345054939e-05,0.00014473027487675415,0.00016737352807821764
bessel00009,carrier,0.037009943289773105,1.5592685511600681,0.0024885873630492695,0.0001340815705252513,0.0010901747681079075,6.765378034249025e-05,0.00015405260154640073,0.0007511794871879852
bessel00009,sb_1,0.00641734344844858,1.539122031618555,0.0021344694347670873,0.0017974216270299542,0.0003344472649214606,0.00010640060186392076,0.0002244630277086051,0.00019462120109146392
bessel00010,sb_1,0.011561544898308317,1.523180813222514,0.002154091050582216,0.0017549677677286793,0.00039169086906311757,6.969553911075279e-05,0.00014724486454602658,0.00022939204571989567
bessel00010,carrier,0.029786278381664335,1.5022719927500525,0.0024589248142395234,0.0007570272611454868,0.0007884168605316345,6.027828169435864e-05,0.00013643994335712898,0.0005365942758461328
bessel00010,sb_1,0.008945576766047148,1.480938023004316,0.002192117455407823,0.0018130025003575054,0.00041342381297799504,9.643495029660992e-05,0.0002059538441615504,0.0002477794132458631
bessel00011,sb_1,0.01304164550467183,1.530099803988968,0.002607338481364941,0.0010488483362909203,0.0006641984661912465,0.00012143886856906399,0.00028064001755489615,0.0004714671654023424
bessel00011,carrier,0.02509994129191364,1.5081836203770496,0.0024837937603966794,0.0011373187205147208,0.0005353031154137734,4.918244573720522e-05,0.00011072284391416132,0.000360573200558683
bessel00011,sb_1,0.010406763075127045,1.4859585236642878,0.0026059646956075174,0.0011342191260557551,0.00030218615656373894,6.920422640491516e-05,0.00016003714018296054,0.00021464328317197479
