timestamp,volt_laser,volt_piezo,piezo_fitted
-0.0234436,-0.0051688389,-9.975837823338036,-9.975837823338036
-0.0234428,-0.0027517536,-9.975526770889388,-9.975526770889388
-0.023442,0.0035698544,-9.975215718440742,-9.975215718440742
-0.0234412,0.0035698544,-9.974904665992092,-9.974904665992092
-0.0234404,0.0035698544,-9.974593613543444,-9.974593613543444
-0.0234396,0.0007809098,-9.974282561094798,-9.974282561094798
-0.0234388,0.0004090504,-9.973971508646148,-9.973971508646148
-0.023438,0.0035698544,-9.9736604561975,-9.9736604561975
-0.0234372,0.0035698544,-9.973349403748852,-9.973349403748852
-0.0234364,0.0035698544,-9.973038351300204,-9.973038351300204
-0.0234356,0.0063587991,-9.972727298851556,-9.972727298851556
-0.0234348,0.0067306584,-9.972416246402908,-9.972416246402908
-0.023434,0.0035698544,-9.97210519395426,-9.97210519395426
-0.0234332,0.0035698544,-9.971794141505612,-9.971794141505612
-0.0234324,0.0007809098,-9.971483089056964,-9.971483089056964
-0.0234316,0.0031979951,-9.971172036608316,-9.971172036608316
-0.0234308,0.0039417138,-9.970860984159668,-9.970860984159668
-0.02343,0.0004090504,-9.97054993171102,-9.97054993171102
-0.0234292,0.0035698544,-9.970238879262372,-9.970238879262372
-0.0234284,0.0035698544,-9.969927826813722,-9.969927826813722
-0.0234276,0.0035698544,-9.969616774365075,-9.969616774365075
-0.0234268,0.0035698544,-9.969305721916427,-9.969305721916427
-0.023426,0.0035698544,-9.968994669467778,-9.968994669467778
-0.0234252,0.0007809098,-9.968683617019131,-9.968683617019131
-0.0234244,0.0004090504,-9.968372564570483,-9.968372564570483
-0.0234236,0.0035698544,-9.968061512121833,-9.968061512121833
-0.0234228,0.0007809098,-9.967750459673187,-9.967750459673187
-0.023422,0.0004090504,-9.967439407224537,-9.967439407224537
-0.0234212,0.0063587991,-9.96712835477589,-9.96712835477589
-0.0234204,0.0039417138,-9.966817302327243,-9.966817302327243
-0.0234196,0.0004090504,-9.966506249878593,-9.966506249878593
-0.0234188,0.0007809098,-9.966195197429945,-9.966195197429945
-0.023418,0.0004090504,-9.965884144981297,-9.965884144981297
-0.0234172,0.0035698544,-9.96557309253265,-9.96557309253265
-0.0234164,0.0035698544,-9.965262040084001,-9.965262040084001
-0.0234156,0.0035698544,-9.964950987635353,-9.964950987635353
-0.0234148,0.0035698544,-9.964639935186705,-9.964639935186705
-0.023414,0.0035698544,-9.964328882738057,-9.964328882738057
-0.0234132,0.0035698544,-9.964017830289409,-9.964017830289409
-0.0234124,0.0035698544,-9.96370677784076,-9.96370677784076
-0.0234116,0.0035698544,-9.963395725392113,-9.963395725392113
-0.0234108,0.0035698544,-9.963084672943465,-9.963084672943465
-0.02341,0.0035698544,-9.962773620494817,-9.962773620494817
-0.0234092,0.0035698544,-9.962462568046169,-9.962462568046169
-0.0234084,0.0035698544,-9.96215151559752,-9.96215151559752
-0.0234076,0.0035698544,-9.961840463148873,-9.961840463148873
-0.0234068,0.0035698544,-9.961529410700223,-9.961529410700223
-0.023406,0.0035698544,-9.961218358251575,-9.961218358251575
-0.0234052,0.0035698544,-9.960907305802928,-9.960907305802928
-0.0234044,0.0035698544,-9.960596253354279,-9.960596253354279
-0.0234036,0.0063587991,-9.96028520090563,-9.96028520090563
-0.0234028,0.0067306584,-9.959974148456984,-9.959974148456984
-0.023402,0.0035698544,-9.959663096008335,-9.959663096008335
-0.0234012,0.0035698544,-9.959352043559687,-9.959352043559687
-0.0234004,0.0007809098,-9.959040991111038,-9.959040991111038
-0.0233996,0.0031979951,-9.95872993866239,-9.95872993866239
-0.0233988,0.0067306584,-9.958418886213742,-9.958418886213742
-0.023398,0.0007809098,-9.958107833765094,-9.958107833765094
-0.0233972,0.0004090504,-9.957796781316446,-9.957796781316446
-0.0233964,0.0035698544,-9.957485728867798,-9.957485728867798
-0.0233956,0.0007809098,-9.95717467641915,-9.95717467641915
-0.0233948,0.0004090504,-9.956863623970502,-9.956863623970502
-0.023394,0.0035698544,-9.956552571521854,-9.956552571521854
-0.0233932,0.0035698544,-9.956241519073206,-9.956241519073206
-0.0233924,0.0035698544,-9.955930466624558,-9.955930466624558
-0.0233916,0.0035698544,-9.955619414175908,-9.955619414175908
-0.0233908,0.0035698544,-9.955308361727262,-9.955308361727262
-0.02339,0.0035698544,-9.954997309278614,-9.954997309278614
-0.0233892,0.0035698544,-9.954686256829964,-9.954686256829964
-0.0233884,0.0035698544,-9.954375204381318,-9.954375204381318
-0.0233876,0.0063587991,-9.95406415193267,-9.95406415193267
-0.0233868,0.0067306584,-9.95375309948402,-9.95375309948402
-0.023386,0.0035698544,-9.953442047035374,-9.953442047035374
-0.0233852,0.0035698544,-9.953130994586724,-9.953130994586724
-0.0233844,0.0035698544,-9.952819942138076,-9.952819942138076
-0.0233836,0.0007809098,-9.95250888968943,-9.95250888968943
-0.0233828,0.0004090504,-9.95219783724078,-9.95219783724078
-0.023382,0.0007809098,-9.951886784792132,-9.951886784792132
-0.0233812,0.0004090504,-9.951575732343484,-9.951575732343484
-0.0233804,0.0035698544,-9.951264679894836,-9.951264679894836
-0.0233796,0.0035698544,-9.950953627446188,-9.950953627446188
-0.0233788,0.0035698544,-9.95064257499754,-9.95064257499754
-0.023378,0.0035698544,-9.950331522548892,-9.950331522548892
-0.0233772,0.0007809098,-9.950020470100243,-9.950020470100243
-0.0233764,0.0004090504,-9.949709417651595,-9.949709417651595
-0.0233756,0.0035698544,-9.949398365202947,-9.949398365202947
-0.0233748,0.0035698544,-9.9490873127543,-9.9490873127543
-0.023374,0.0035698544,-9.948776260305651,-9.948776260305651
-0.0233732,0.0007809098,-9.948465207857003,-9.948465207857003
-0.0233724,0.0004090504,-9.948154155408355,-9.948154155408355
-0.0233716,0.0035698544,-9.947843102959707,-9.947843102959707
-0.0233708,0.0035698544,-9.94753205051106,-9.94753205051106
-0.02337,0.0007809098,-9.94722099806241,-9.94722099806241
-0.0233692,0.0004090504,-9.946909945613761,-9.946909945613761
-0.0233684,0.0063587991,-9.946598893165115,-9.946598893165115
-0.0233676,0.0067306584,-9.946287840716465,-9.946287840716465
-0.0233668,0.0035698544,-9.945976788267817,-9.945976788267817
-0.023366,0.0007809098,-9.945665735819171,-9.945665735819171
-0.0233652,-0.0023798943,-9.945354683370521,-9.945354683370521
-0.0233644,0.0004090504,-9.945043630921873,-9.945043630921873
-0.0233636,0.0063587991,-9.944732578473227,-9.944732578473227
-0.0233628,0.0039417138,-9.944421526024577,-9.944421526024577
-0.023362,0.0004090504,-9.944110473575929,-9.944110473575929
-0.0233612,0.0035698544,-9.94379942112728,-9.94379942112728
-0.0233604,0.0035698544,-9.943488368678633,-9.943488368678633
-0.0233596,0.0007809098,-9.943177316229985,-9.943177316229985
-0.0233588,0.0004090504,-9.942866263781337,-9.942866263781337
-0.023358,0.0035698544,-9.942555211332689,-9.942555211332689
-0.0233572,0.0035698544,-9.94224415888404,-9.94224415888404
-0.0233564,0.0063587991,-9.941933106435393,-9.941933106435393
-0.0233556,0.0095196031,-9.941622053986745,-9.941622053986745
-0.0233548,0.0067306584,-9.941311001538095,-9.941311001538095
-0.023354,0.0035698544,-9.940999949089449,-9.940999949089449
-0.0233532,0.0035698544,-9.9406888966408,-9.9406888966408
-0.0233524,0.0035698544,-9.94037784419215,-9.94037784419215
-0.0233516,0.0035698544,-9.940066791743504,-9.940066791743504
-0.0233508,0.0007809098,-9.939755739294856,-9.939755739294856
-0.02335,0.0004090504,-9.939444686846207,-9.939444686846207
-0.0233492,0.0035698544,-9.93913363439756,-9.93913363439756
-0.0233484,0.0007809098,-9.93882258194891,-9.93882258194891
-0.0233476,0.0004090504,-9.938511529500262,-9.938511529500262
-0.0233468,0.0035698544,-9.938200477051616,-9.938200477051616
-0.023346,0.0035698544,-9.937889424602966,-9.937889424602966
-0.0233452,0.0007809098,-9.937578372154318,-9.937578372154318
-0.0233444,0.0004090504,-9.93726731970567,-9.93726731970567
-0.0233436,0.0035698544,-9.936956267257022,-9.936956267257022
-0.0233428,0.0035698544,-9.936645214808374,-9.936645214808374
-0.023342,0.0035698544,-9.936334162359726,-9.936334162359726
-0.0233412,0.0007809098,-9.936023109911078,-9.936023109911078
-0.0233404,0.0004090504,-9.93571205746243,-9.93571205746243
-0.0233396,0.0035698544,-9.935401005013782,-9.935401005013782
-0.0233388,0.0007809098,-9.935089952565134,-9.935089952565134
-0.023338,-0.0023798943,-9.934778900116486,-9.934778900116486
-0.0233372,-0.0023798943,-9.934467847667838,-9.934467847667838
-0.0233364,0.0004090504,-9.93415679521919,-9.93415679521919
-0.0233356,0.0035698544,-9.933845742770542,-9.933845742770542
-0.0233348,0.0035698544,-9.933534690321894,-9.933534690321894
-0.023334,0.0035698544,-9.933223637873246,-9.933223637873246
-0.0233332,0.0035698544,-9.932912585424596,-9.932912585424596
-0.0233324,0.0063587991,-9.932601532975948,-9.932601532975948
-0.0233316,0.0039417138,-9.932290480527302,-9.932290480527302
-0.0233308,0.0004090504,-9.931979428078652,-9.931979428078652
-0.02333,0.0007809098,-9.931668375630004,-9.931668375630004
-0.0233292,-0.0023798943,-9.931357323181357,-9.931357323181357
-0.0233284,0.0031979951,-9.931046270732708,-9.931046270732708
-0.0233276,0.0039417138,-9.93073521828406,-9.93073521828406
-0.0233268,-0.0023798943,-9.930424165835413,-9.930424165835413
-0.023326,0.0031979951,-9.930113113386764,-9.930113113386764
-0.0233252,0.0039417138,-9.929802060938115,-9.929802060938115
-0.0233244,0.0004090504,-9.929491008489467,-9.929491008489467
-0.0233236,0.0035698544,-9.92917995604082,-9.92917995604082
-0.0233228,0.0035698544,-9.928868903592171,-9.928868903592171
-0.023322,0.0035698544,-9.928557851143523,-9.928557851143523
-0.0233212,0.0007809098,-9.928246798694875,-9.928246798694875
-0.0233204,0.0004090504,-9.927935746246227,-9.927935746246227
-0.0233196,0.0035698544,-9.92762469379758,-9.92762469379758
-0.0233188,0.0035698544,-9.927313641348931,-9.927313641348931
-0.023318,0.0035698544,-9.927002588900281,-9.927002588900281
-0.0233172,0.0035698544,-9.926691536451635,-9.926691536451635
-0.0233164,0.0035698544,-9.926380484002987,-9.926380484002987
-0.0233156,0.0007809098,-9.926069431554337,-9.926069431554337
-0.0233148,0.0004090504,-9.925758379105691,-9.925758379105691
-0.023314,0.0063587991,-9.925447326657043,-9.925447326657043
-0.0233132,0.0039417138,-9.925136274208393,-9.925136274208393
-0.0233124,0.0004090504,-9.924825221759747,-9.924825221759747
-0.0233116,0.0035698544,-9.924514169311097,-9.924514169311097
-0.0233108,0.0035698544,-9.924203116862449,-9.924203116862449
-0.02331,0.0035698544,-9.923892064413803,-9.923892064413803
-0.0233092,0.0035698544,-9.923581011965153,-9.923581011965153
-0.0233084,0.0035698544,-9.923269959516505,-9.923269959516505
-0.0233076,0.0007809098,-9.922958907067857,-9.922958907067857
-0.0233068,0.0004090504,-9.922647854619209,-9.922647854619209
-0.023306,0.0035698544,-9.92233680217056,-9.92233680217056
-0.0233052,0.0035698544,-9.922025749721913,-9.922025749721913
-0.0233044,0.0035698544,-9.921714697273265,-9.921714697273265
-0.0233036,0.0035698544,-9.921403644824617,-9.921403644824617
-0.0233028,0.0035698544,-9.921092592375969,-9.921092592375969
-0.023302,0.0035698544,-9.92078153992732,-9.92078153992732
-0.0233012,0.0007809098,-9.920470487478672,-9.920470487478672
-0.0233004,0.0004090504,-9.920159435030024,-9.920159435030024
-0.0232996,0.0035698544,-9.919848382581376,-9.919848382581376
-0.0232988,0.0035698544,-9.919537330132728,-9.919537330132728
-0.023298,0.0007809098,-9.91922627768408,-9.91922627768408
-0.0232972,0.0004090504,-9.918915225235432,-9.918915225235432
-0.0232964,0.0007809098,-9.918604172786782,-9.918604172786782
-0.0232956,-0.0023798943,-9.918293120338134,-9.918293120338134
-0.0232948,-0.0023798943,-9.917982067889488,-9.917982067889488
-0.023294,0.0031979951,-9.917671015440838,-9.917671015440838
-0.0232932,0.0067306584,-9.91735996299219,-9.91735996299219
-0.0232924,0.0035698544,-9.917048910543544,-9.917048910543544
-0.0232916,0.0035698544,-9.916737858094894,-9.916737858094894
-0.0232908,0.0035698544,-9.916426805646246,-9.916426805646246
-0.02329,0.0007809098,-9.9161157531976,-9.9161157531976
-0.0232892,-0.0023798943,-9.91580470074895,-9.91580470074895
-0.0232884,0.0004090504,-9.915493648300302,-9.915493648300302
-0.0232876,0.0035698544,-9.915182595851654,-9.915182595851654
-0.0232868,0.0063587991,-9.914871543403006,-9.914871543403006
-0.023286,0.0067306584,-9.914560490954358,-9.914560490954358
-0.0232852,0.0007809098,-9.91424943850571,-9.91424943850571
-0.0232844,0.0004090504,-9.913938386057062,-9.913938386057062
-0.0232836,0.0007809098,-9.913627333608414,-9.913627333608414
-0.0232828,0.0004090504,-9.913316281159766,-9.913316281159766
-0.023282,0.0007809098,-9.913005228711118,-9.913005228711118
-0.0232812,0.0004090504,-9.912694176262468,-9.912694176262468
-0.0232804,0.0035698544,-9.912383123813822,-9.912383123813822
-0.0232796,0.0035698544,-9.912072071365174,-9.912072071365174
-0.0232788,0.0035698544,-9.911761018916524,-9.911761018916524
-0.023278,0.0035698544,-9.911449966467877,-9.911449966467877
-0.0232772,0.0007809098,-9.91113891401923,-9.91113891401923
-0.0232764,0.0004090504,-9.91082786157058,-9.91082786157058
-0.0232756,0.0035698544,-9.910516809121933,-9.910516809121933
-0.0232748,0.0035698544,-9.910205756673284,-9.910205756673284
-0.023274,0.0007809098,-9.909894704224635,-9.909894704224635
-0.0232732,0.0031979951,-9.90958365177599,-9.90958365177599
-0.0232724,0.0039417138,-9.90927259932734,-9.90927259932734
-0.0232716,0.0004090504,-9.908961546878691,-9.908961546878691
-0.0232708,0.0035698544,-9.908650494430043,-9.908650494430043
-0.02327,0.0035698544,-9.908339441981395,-9.908339441981395
-0.0232692,0.0035698544,-9.908028389532747,-9.908028389532747
-0.0232684,0.0035698544,-9.9077173370841,-9.9077173370841
-0.0232676,0.0063587991,-9.907406284635451,-9.907406284635451
-0.0232668,0.0067306584,-9.907095232186803,-9.907095232186803
-0.023266,0.0035698544,-9.906784179738155,-9.906784179738155
-0.0232652,0.0063587991,-9.906473127289507,-9.906473127289507
-0.0232644,0.0067306584,-9.906162074840859,-9.906162074840859
-0.0232636,0.0007809098,-9.905851022392211,-9.905851022392211
-0.0232628,0.0004090504,-9.905539969943563,-9.905539969943563
-0.023262,0.0035698544,-9.905228917494915,-9.905228917494915
-0.0232612,0.0007809098,-9.904917865046267,-9.904917865046267
-0.0232604,0.0031979951,-9.904606812597619,-9.904606812597619
-0.0232596,0.0067306584,-9.904295760148969,-9.904295760148969
-0.0232588,0.0007809098,-9.903984707700321,-9.903984707700321
-0.023258,0.0004090504,-9.903673655251675,-9.903673655251675
-0.0232572,0.0035698544,-9.903362602803025,-9.903362602803025
-0.0232564,0.0007809098,-9.903051550354377,-9.903051550354377
-0.0232556,0.0004090504,-9.90274049790573,-9.90274049790573
-0.0232548,0.0035698544,-9.90242944545708,-9.90242944545708
-0.023254,0.0035698544,-9.902118393008433,-9.902118393008433
-0.0232532,0.0007809098,-9.901807340559786,-9.901807340559786
-0.0232524,-0.0079577836,-9.901496288111137,-9.901496288111137
-0.0232516,-0.0087015023,-9.901185235662489,-9.901185235662489
-0.0232508,-0.0051688389,-9.90087418321384,-9.90087418321384
-0.02325,-0.0027517536,-9.900563130765192,-9.900563130765192
-0.0232492,0.0035698544,-9.900252078316544,-9.900252078316544
-0.0232484,0.0007809098,-9.899941025867896,-9.899941025867896
-0.0232476,0.0004090504,-9.899629973419248,-9.899629973419248
-0.0232468,0.0035698544,-9.8993189209706,-9.8993189209706
-0.023246,0.0007809098,-9.899007868521952,-9.899007868521952
-0.0232452,0.0004090504,-9.898696816073304,-9.898696816073304
-0.0232444,0.0035698544,-9.898385763624654,-9.898385763624654
-0.0232436,0.0063587991,-9.898074711176008,-9.898074711176008
