indices,timestamp,laser_peaks,piezo_peaks,freq_conf,freq_non_confoc,lor_A,lor_mean,lor_gamma,lor_d_A,lor_d_mean,lor_d_gamma
9950,-0.0155372,0.8155246195,-6.9339508787,-4784415.555015087,-1202329.2019424438,0.5723333008651621,-6.930942162639386,0.006017432121228611,300.30910632347536,2.937010118813061,2.019988646341651
20963,-0.0067268,0.1078763861,-3.5128454566,1496109905.6156223,1486474384.20058,0.0847441661642026,-3.4967021223463854,0.03228666850723041,0.02915525493018912,0.005382649087579145,0.017317049796749015
30587,0.0009724,0.7385497461,-0.5049309751,3008947433.7988973,2993829344.425838,0.5425102761564345,-0.4933376161966291,0.023186717806741815,0.20829988465490107,0.00504792456500771,0.009567496062949437
39030,0.0077268,0.0928160846,2.1273553744,4481203281.144735,4466000214.139853,0.057803330297394005,2.1141894041517406,0.026331940496620774,0.03954685721646309,0.01879393593500622,0.013922443114995913
47020,0.0141188,0.5449969843,4.6238377094,6005434114.668682,5994214931.287622,0.37054843479301514,4.632905541984938,0.018135665169877822,0.7959191292314173,0.03172079534413975,0.03643695479640936
