freq_confoc,freq_non_confoc,volt_laser
-1342614601.1695266,-1319250693.9484563,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1304124954.9662166,-1281357850.164125,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1306393855.8563676,-1283591777.1502652,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0063587991
-1323391470.1793046,-1300326560.7934365,0.0067306584
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1304124954.9662166,-1281357850.164125,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1287089060.3733869,-1264583733.3833117,-0.0023798943
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0063587991
-1304124954.9662166,-1281357850.164125,0.0039417138
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1304124954.9662166,-1281357850.164125,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1287089060.3733869,-1264583733.3833117,-0.0023798943
-1304124954.9662166,-1281357850.164125,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,-0.0023798943
-1306393855.8563676,-1283591777.1502652,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0063587991
-1304124954.9662166,-1281357850.164125,0.0067306584
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,-0.0023798943
-1306393855.8563676,-1283591777.1502652,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,-0.0023798943
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0063587991
-1304124954.9662166,-1281357850.164125,0.0067306584
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1304124954.9662166,-1281357850.164125,-0.0023798943
-1306393855.8563676,-1283591777.1502652,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0007809098
-1306393855.8563676,-1283591777.1502652,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1304124954.9662166,-1281357850.164125,0.0004090504
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,-0.0023798943
-1304124954.9662166,-1281357850.164125,0.0004090504
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1304124954.9662166,-1281357850.164125,0.0004090504
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1287089060.3733869,-1264583733.3833117,-0.0023798943
-1287089060.3733869,-1264583733.3833117,-0.0023798943
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1304124954.9662166,-1281357850.164125,-0.0023798943
-1323391470.1793046,-1300326560.7934365,-0.0023798943
-1306393855.8563676,-1283591777.1502652,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0063587991
-1323391470.1793046,-1300326560.7934365,0.0095196031
-1306393855.8563676,-1283591777.1502652,0.0067306584
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0035698544
-1323391470.1793046,-1300326560.7934365,0.0007809098
-1323391470.1793046,-1300326560.7934365,0.0004090504
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0035698544
-1287089060.3733869,-1264583733.3833117,0.0007809098
-1287089060.3733869,-1264583733.3833117,0.0004090504
-1304124954.9662166,-1281357850.164125,0.0035698544
-1306393855.8563676,-1283591777.1502652,0.0035698544
-1304124954.9662166,-1281357850.164125,0.0035698544
