indices,timestamp,laser_peaks,piezo_peaks,freq_conf,freq_non_confoc,lor_A,lor_mean,lor_gamma,lor_d_A,lor_d_mean,lor_d_gamma
8234,-0.0129772,0.8943587903,-5.909810405798665,-7010126.790270805,70746.92082166672,0.877546357556252,-5.909979831805352,0.001832857431344731,0.05446131281371612,0.00011202107272588546,0.00018107040779643583
19102,-0.0042828,0.0987658333,-2.528044723493862,1518342317.9936821,1524337696.7765253,0.08547049913948779,-2.530786276958772,0.008875940541063089,0.0024054224795394845,0.00024665894440177555,0.000388597887908776
28357,0.0031212,0.7707155747,0.3518081831799471,2996788180.210702,2999201864.544456,0.6688860560673131,0.3532851567414444,0.005516700736030306,0.022562865913619525,0.0001852548412219432,0.00032030989075139974
36768,0.00985,0.0928160846,2.9690359301311524,4483607116.673428,4480645626.132931,0.08251538245965326,2.967344689745077,0.007231309435817498,0.0015669130352069737,0.00013560848252174642,0.00021050506988180175
44693,0.01619,0.5743738682,5.435036393166262,6009281753.47583,5999408458.8644,0.5046352589779616,5.435960573136521,0.005479056857243434,0.010083749343979303,0.0001079599505859631,0.00017472594663061597
