freq_confoc,freq_non_confoc,volt_laser
-558992566.2011666,-550658047.4329491,0.0035698544
-558876228.0122628,-550541677.7013865,0.0007809098
-558759887.8228364,-550425305.9948435,0.0004090504
-558643545.6328883,-550308932.3133202,0.0063587991
-558527201.4424195,-550192556.6568174,0.0067306584
-558410855.2514272,-550076179.0253344,0.0035698544
-558294507.0599141,-549959799.4188709,0.0007809098
-558178156.8678813,-549843417.83743,0.0004090504
-558061804.6753259,-549727034.2810068,0.0007809098
-557945450.4822478,-549610648.7496042,0.0004090504
-557829094.2886481,-549494261.2432222,0.0035698544
-557712736.0945277,-549377871.7618599,0.0035698544
-557596375.8998857,-549261480.3055191,0.0035698544
-557480013.7047219,-549145086.874197,0.0035698544
-557363649.5090365,-549028691.4678955,0.0035698544
-557247283.3128295,-548912294.0866137,0.0035698544
-557130915.1161008,-548795894.7303524,0.0007809098
-557014544.9188485,-548679493.3991098,0.0004090504
-556898172.7210774,-548563090.0928888,0.0035698544
-556781798.5227838,-548446684.8116884,0.0035698544
-556665422.3239684,-548330277.5555077,0.0007809098
-556549044.1246314,-548213868.3243465,0.0004090504
-556432663.9247727,-548097457.118206,0.0035698544
-556316281.7243934,-547981043.9370852,0.0035698544
-556199897.5234914,-547864628.7809849,0.0035698544
-556083511.3220677,-547748211.6499052,0.0035698544
-555967123.1201234,-547631792.5438452,-0.0020080349
-555850732.9176564,-547515371.4628048,-0.0027517536
-555734340.7146688,-547398948.406785,0.0035698544
-555617946.5111585,-547282523.3757849,0.0035698544
-555501550.3071265,-547166096.3698044,0.0035698544
-555385152.1025729,-547049667.3888454,0.0035698544
-555268751.8974986,-546933236.4329062,0.0035698544
-555152349.6919017,-546816803.5019865,0.0035698544
-555035945.485784,-546700368.5960875,0.0035698544
-554919539.2791448,-546583931.715208,0.0063587991
-554803131.0719838,-546467492.8593483,0.0067306584
-554686720.8643012,-546351052.028511,0.0035698544
-554570308.656096,-546234609.2226915,0.0035698544
-554453894.447371,-546118164.4418936,0.0035698544
-554337478.2381234,-546001717.6861143,0.0035698544
-554221060.0283532,-545885268.9553556,0.0035698544
-554104639.8180623,-545768818.2496166,0.0035698544
-553988217.6072507,-545652365.5689011,0.0007809098
-553871793.3959146,-545535910.9132013,-0.0023798943
-553755367.1840587,-545419454.2825232,0.0004090504
-553638938.9716811,-545302995.6768646,0.0035698544
-553522508.7587819,-545186535.0962267,0.0035698544
-553406076.545362,-545070072.5406094,0.0035698544
-553289642.3314195,-544953608.0100126,0.0063587991
-553173206.1169553,-544837141.5044355,0.0067306584
-553056767.9019704,-544720673.0238781,0.0035698544
-552940327.6864629,-544604202.5683413,0.0035698544
-552823885.4704347,-544487730.137824,0.0035698544
-552707441.2538838,-544371255.7323265,0.0035698544
-552590995.0368123,-544254779.3518505,0.0007809098
-552474546.8192191,-544138300.9963942,-0.0023798943
-552358096.6011033,-544021820.6659575,0.0004090504
-552241644.3824658,-543905338.3605413,0.0007809098
-552125190.1633077,-543788854.0801449,-0.0023798943
-552008733.9436278,-543672367.8247681,0.0004090504
-551892275.7234254,-543555879.5944128,0.0035698544
-551775815.5027022,-543439389.3890772,0.0035698544
-551659353.2814574,-543322897.2087603,0.0035698544
-551542889.059691,-543206403.0534658,0.0035698544
-551426422.8374028,-543089906.9231892,0.0035698544
-551309954.614593,-542973408.817934,0.0035698544
-551193484.3912625,-542856908.7377005,0.0035698544
-551077012.1674094,-542740406.6824846,0.0035698544
-550960537.9430346,-542623902.6522894,0.0035698544
-550844061.7181382,-542507396.6471148,0.0007809098
-550727583.4927201,-542390888.6669598,0.0004090504
-550611103.2667804,-542274378.7118244,0.0035698544
-550494621.040319,-542157866.7817106,0.0007809098
-550378136.813334,-542041352.8766146,0.0004090504
-550261650.5858321,-541924836.996542,0.0007809098
-550145162.3578038,-541808319.1414862,0.0004090504
-550028672.1292567,-541691799.3114519,0.0035698544
-549912179.9001889,-541575277.5064402,0.0035698544
-549795685.6705966,-541458753.7264433,0.0035698544
-549679189.4404836,-541342227.9714708,0.0007809098
-549562691.2098498,-541225700.2415171,-0.0023798943
-549446190.9786954,-541109170.5365839,0.0004090504
-549329688.7470174,-540992638.8566704,0.0035698544
-549213184.5148168,-540876105.2017765,0.0035698544
-549096678.2820973,-540759569.5719051,0.0035698544
-548980170.0488553,-540643031.9670515,0.0035698544
-548863659.8150907,-540526492.3872185,0.0007809098
-548747147.5808053,-540409950.8324051,0.0004090504
