indices,timestamp,laser_peaks,piezo_peaks,freq_conf,freq_non_confoc,lor_A,lor_mean,lor_gamma,lor_d_A,lor_d_mean,lor_d_gamma
4557,-0.0197548,0.9083035132,-8.5982724354,-11868491.292703152,-3723985.011157036,0.8549993269353485,-8.58895001515112,0.01864484049776414,1.690291671301347,0.027575674778987078,0.037177431788045924
15743,-0.010806,0.1106653307,-5.0847047046,1526822562.787094,1528283957.1080308,0.06737810653572929,-5.103930670364364,0.038451931528730124,0.01562710868317039,0.003939269166936172,0.01626165797445968
25153,-0.003278,0.8722331617,-2.1692525317,2999233604.323624,2995054269.2189293,0.929497149294917,-2.1599842098841853,0.01853664363162995,0.3833149444876463,0.004817151562502324,0.007070990398134226
33595,0.0034756,0.0987658333,0.4630338177,4481069570.862308,4471723129.350932,0.058997006850717654,0.4475564815201458,0.030954672359708543,0.02678316498374854,0.007551076097105051,0.021016827657216634
41603,0.009882,0.7325999975,2.9595161527,6020106929.599732,6005794870.832765,0.5132490506180308,2.950467964930838,0.018096375538324792,0.8380541101991624,0.023148558091869213,0.028482137820933718
