indices,timestamp,laser_peaks,piezo_peaks,freq_conf,freq_non_confoc,lor_A,lor_mean,lor_gamma,lor_d_A,lor_d_mean,lor_d_gamma
10101,-0.0153772,0.9761678338,-6.8392936707495,-5672911.704236507,-1004369.7357554436,0.7229305126406503,-6.837038390398359,0.009988800105818272,0.03478787961759317,0.0005809837840399795,0.001275824887459676
20334,-0.0071908,0.1166150793,-3.655935646575858,1509128870.1484783,1509305363.4681244,0.09962242180221632,-3.6552454647908443,0.009026622080268732,0.003903208347519794,0.00034911294337846703,0.0006124730701643313
29383,4.84e-05,0.8365346696,-0.840905180363869,3002533539.9248343,2999320195.980688,0.7869852804519174,-0.8396804567567888,0.005480170393671044,0.01614931136996849,0.00011155963341200172,0.00019226323688950112
37605,0.006626,0.0987658333,1.7168559527110538,4484681843.201914,4478862498.890165,0.08908561607711704,1.7158749660710952,0.007897770763859453,0.001483027519616226,0.00012966371996352326,0.00020430749990996827
45439,0.0128932,0.6731025107,4.1539151495620565,6007811228.636448,5999928753.334179,0.6181068324417578,4.154025364643376,0.005277835923912655,0.018839388219824508,0.000158476426804586,0.0002719897925110536
