indices,timestamp,laser_peaks,piezo_peaks,freq_conf,freq_non_confoc,lor_A,lor_mean,lor_gamma,lor_d_A,lor_d_mean,lor_d_gamma
7568,-0.0173892,0.9356351715,-7.6303076426,-2455264.6183419228,-1223792.0498204231,0.7765215465528262,-7.6273684558314665,0.007407619337519609,0.8090672559266635,0.002241539058697894,0.028497016631372794
18298,-0.0088052,0.1078763861,-4.3450062349,1488983918.1805296,1479114218.5506415,0.07800362569359794,-4.325043072401995,0.03992632499601113,0.0109261052022889,0.003218373043741479,0.009161701206983463
27541,-0.0014108,0.9107205984,-1.3862123564,3018709884.580493,3004957921.0143375,0.7289986260116282,-1.3952852716804933,0.01814583056098716,3.4183698692136635,0.06415525402706797,0.0845814666480081
35786,0.0051852,0.0868663359,1.1593905817,4476268894.313284,4463815099.842192,0.05321826407986549,1.168340627803703,0.04046570495373609,0.005409648481178132,0.003940854140057157,0.006858975258587199
43696,0.0115132,0.7207005001,3.6067523137,6000938743.683208,5993777970.120346,0.4895116419360196,3.6163134183462486,0.019122209292497604,0.8895177621020329,0.02644228449038363,0.03500045999609192
