freq_confoc,freq_non_confoc,volt_laser
-1271480407.30682,-1274411888.4305077,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0007809098
-1252777820.8372898,-1255534934.476078,0.0004090504
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1236236550.3793116,-1238840873.6310186,0.0035698544
-1234028285.6709223,-1236612312.183547,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0007809098
-1236236550.3793116,-1238840873.6310186,0.0004090504
-1234028285.6709223,-1236612312.183547,0.0035698544
-1236236550.3793116,-1238840873.6310186,0.0035698544
-1234028285.6709223,-1236612312.183547,0.0007809098
-1236236550.3793116,-1238840873.6310186,0.0004090504
-1234028285.6709223,-1236612312.183547,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1236236550.3793116,-1238840873.6310186,0.0035698544
-1234028285.6709223,-1236612312.183547,0.0007809098
-1252777820.8372898,-1255534934.476078,0.0004090504
-1236236550.3793116,-1238840873.6310186,0.0007809098
-1234028285.6709223,-1236612312.183547,-0.0023798943
-1236236550.3793116,-1238840873.6310186,-0.0023798943
-1234028285.6709223,-1236612312.183547,0.0004090504
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0007809098
-1236236550.3793116,-1238840873.6310186,0.0004090504
-1217445589.8209858,-1219877955.6741476,0.0035698544
-1217445589.8209858,-1219877955.6741476,0.0035698544
-1234028285.6709223,-1236612312.183547,0.0035698544
-1236236550.3793116,-1238840873.6310186,0.0035698544
-1234028285.6709223,-1236612312.183547,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1236236550.3793116,-1238840873.6310186,0.0035698544
-1234028285.6709223,-1236612312.183547,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1252777820.8372898,-1255534934.476078,0.0035698544
-1236236550.3793116,-1238840873.6310186,0.0007809098
-1234028285.6709223,-1236612312.183547,-0.0023798943
-1252777820.8372898,-1255534934.476078,-0.0023798943
-1252777820.8372898,-1255534934.476078,0.0004090504
