title,D,d_D,mod_f,mod_ampl
calibrated_error00001_filtered,-0.09425957442513282,0.002932281576708325,50,510
calibrated_error00002_filtered,-0.06697557275363394,0.0021797885770760196,40,310
calibrated_error00003_filtered,0.04471910509474319,0.0012755367403930104,30,250
calibrated_error00004_filtered,-0.05720361707387836,0.0020048383407436036,20,150
