timestamp,transmission,reflection,volt_piezo,total_intensity,frequencies
-0.007497464,0.000781302,0.00219742,0.9000380677471869,0.341178,-42.035461831612565
-0.007492464,0.000141327,-0.0106021,0.9000887410312133,0.353978,-41.97044233768838
-0.007487464,0.000781302,0.00859717,0.9001394143152396,0.347578,-41.9054228437642
-0.007482464,0.000781302,0.00219742,0.900190087599266,0.334779,-41.84040334984002
-0.007477464,0.00142128,-0.0106021,0.9002407608832923,0.360378,-41.775383855915834
-0.007472464,0.000141327,-0.00740221,0.9002914341673187,0.347578,-41.71036436199165
-0.007467464,0.00110129,0.00219742,0.9003421074513451,0.341178,-41.64534486806747
-0.007462464,0.00110129,-0.00740221,0.9003927807353714,0.360378,-41.580325374143285
-0.007457464,0.000141327,0.00219742,0.9004434540193978,0.353978,-41.5153058802191
-0.007452464,0.00142128,-0.00100246,0.9004941273034242,0.347578,-41.45028638629492
-0.007447464,0.000141327,-0.00420233,0.9005448005874506,0.353978,-41.38526689237074
-0.007442464,0.00142128,-0.00740221,0.9005954738714769,0.360378,-41.320247398446554
-0.007437464,0.00142128,-0.013802,0.9006461471555033,0.341178,-41.25522790452237
-0.007432464,0.00110129,-0.00740221,0.9006968204395297,0.366777,-41.19020841059819
-0.007427464,0.000781302,-0.00740221,0.900747493723556,0.353978,-41.125188916674006
-0.007422464,0.000781302,-0.013802,0.9007981670075824,0.347578,-41.06016942274982
-0.007417464,0.000141327,0.00859717,0.9008488402916088,0.360378,-40.99514992882541
-0.007412464,0.000461315,-0.00740221,0.9008995135756352,0.353978,-40.93013043490123
-0.007407464,0.00142128,-0.00420233,0.9009501868596614,0.341178,-40.865110940977274
-0.007402464,0.000781302,0.00219742,0.901000860143688,0.360378,-40.800091447052864
-0.007397464,0.00110129,-0.00100246,0.9010515334277144,0.353978,-40.73507195312868
-0.007392464,0.00110129,-0.00420233,0.9011022067117406,0.341178,-40.670052459204726
-0.007387464,0.00142128,-0.00100246,0.901152879995767,0.366777,-40.605032965280316
-0.007382464,-0.000178661,-0.00420233,0.9012035532797932,0.353978,-40.54001347135636
-0.007377464,0.000141327,-0.00420233,0.9012542265638196,0.341178,-40.47499397743218
-0.007372464,0.00174127,-0.00100246,0.901304899847846,0.347578,-40.409974483507995
-0.007367464,-0.00113862,-0.00420233,0.9013555731318724,0.353978,-40.34495498958381
-0.007362464,0.00110129,-0.00740221,0.9014062464158988,0.341178,-40.2799354956594
-0.007357464,0.000141327,-0.00740221,0.9014569196999253,0.347578,-40.21491600173522
-0.007352464,0.00110129,-0.00100246,0.9015075929839516,0.347578,-40.149896507811036
-0.007347464,0.00142128,-0.00420233,0.901558266267978,0.347578,-40.08487701388685
-0.007342464,-0.000178661,-0.0106021,0.9016089395520044,0.353978,-40.01985751996267
-0.007337464,0.00110129,-0.00740221,0.9016596128360308,0.353978,-39.95483802603826
-0.007332464,0.000461315,-0.00740221,0.901710286120057,0.347578,-39.889818532114305
-0.007327464,0.00238124,-0.00100246,0.9017609594040834,0.353978,-39.82479903819012
-0.007322464,-0.000498648,-0.00100246,0.9018116326881096,0.347578,-39.759779544266166
-0.007317464,0.00142128,0.0117971,0.901862305972136,0.341178,-39.69476005034198
-0.007312464,0.000461315,0.00859717,0.9019129792561624,0.366777,-39.62974055641757
-0.007307464,0.000781302,-0.00100246,0.9019636525401888,0.353978,-39.56472106249339
-0.007302464,0.00142128,-0.00740221,0.9020143258242151,0.341178,-39.499701568569435
-0.007297464,-0.000178661,0.00859717,0.9020649991082416,0.353978,-39.434682074645025
-0.007292464,0.000461315,-0.00100246,0.902115672392268,0.347578,-39.36966258072084
-0.007287464,0.000461315,-0.0266015,0.9021663456762944,0.341178,-39.30464308679666
-0.007282464,0.00142128,0.0117971,0.9022170189603208,0.360378,-39.23962359287225
-0.007277464,0.000781302,0.0053973,0.9022676922443472,0.360378,-39.174604098948066
-0.007272464,0.00110129,0.0213967,0.9023183655283734,0.341178,-39.10958460502411
-0.007267464,0.000781302,-0.0106021,0.9023690388123998,0.353978,-39.04456511109993
-0.007262464,0.000141327,0.0117971,0.902419712096426,0.353978,-38.97954561717597
-0.007257464,0.000781302,0.0053973,0.9024703853804524,0.334779,-38.91452612325156
-0.007252464,0.000781302,-0.00100246,0.902521058664479,0.360378,-38.84950662932738
-0.007247464,0.00142128,0.0053973,0.9025717319485052,0.353978,-38.7844871354032
-0.007242464,0.000781302,0.0053973,0.9026224052325316,0.341178,-38.719467641479014
-0.007237464,0.000781302,-0.0170018,0.902673078516558,0.366777,-38.65444814755483
-0.007232464,0.000461315,-0.0106021,0.9027237518005844,0.341178,-38.58942865363065
-0.007227464,0.00206125,-0.013802,0.9027744250846108,0.341178,-38.52440915970624
-0.007222464,-0.000498648,-0.0106021,0.9028250983686372,0.360378,-38.459389665782055
-0.007217464,0.00110129,0.00859717,0.9028757716526636,0.353978,-38.39437017185787
-0.007212464,0.000461315,-0.013802,0.9029264449366898,0.334779,-38.32935067793392
-0.007207464,0.00174127,-0.0106021,0.9029771182207162,0.353978,-38.26433118400951
-0.007202464,0.000461315,-0.0106021,0.9030277915047424,0.347578,-38.19931169008555
-0.007197464,0.00110129,-0.00100246,0.903078464788769,0.347578,-38.13429219616114
-0.007192464,0.00110129,0.00219742,0.9031291380727952,0.366777,-38.069272702237186
-0.007187464,0.000141327,-0.00740221,0.9031798113568216,0.315579,-38.004253208313
-0.007182464,0.00142128,-0.00100246,0.903230484640848,0.341178,-37.93923371438882
-0.007177464,0.00110129,-0.0170018,0.9032811579248744,0.360378,-37.87421422046464
